category,name,description,transparent,width,height,formats,svg
03-icons-website,phone,phone icon,true,512,512,svg-png-webp,03-icons-website/phone.svg
03-icons-website,lock,lock icon,true,512,512,svg-png-webp,03-icons-website/lock.svg
03-icons-website,smart-home,smart home icon,true,512,512,svg-png-webp,03-icons-website/smart-home.svg
03-icons-website,star,star icon,true,512,512,svg-png-webp,03-icons-website/star.svg
03-icons-website,value,value icon,true,512,512,svg-png-webp,03-icons-website/value.svg
03-icons-website,support,support icon,true,512,512,svg-png-webp,03-icons-website/support.svg
03-icons-website,cart,cart icon,true,512,512,svg-png-webp,03-icons-website/cart.svg
03-icons-website,search,search icon,true,512,512,svg-png-webp,03-icons-website/search.svg
03-icons-website,user,user icon,true,512,512,svg-png-webp,03-icons-website/user.svg
03-icons-website,heart,heart icon,true,512,512,svg-png-webp,03-icons-website/heart.svg
03-icons-website,arrow-right,arrow right icon,true,512,512,svg-png-webp,03-icons-website/arrow-right.svg
03-icons-website,chevron-down,chevron down icon,true,512,512,svg-png-webp,03-icons-website/chevron-down.svg
04-icons-social,instagram,instagram social icon,true,512,512,svg-png-webp,04-icons-social/instagram.svg
04-icons-social,facebook,facebook social icon,true,512,512,svg-png-webp,04-icons-social/facebook.svg
04-icons-social,linkedin,linkedin social icon,true,512,512,svg-png-webp,04-icons-social/linkedin.svg
04-icons-social,pinterest,pinterest social icon,true,512,512,svg-png-webp,04-icons-social/pinterest.svg
04-icons-social,youtube,youtube social icon,true,512,512,svg-png-webp,04-icons-social/youtube.svg
04-icons-social,x,x social icon,true,512,512,svg-png-webp,04-icons-social/x.svg
05-palette,slate-navy,Slate Navy color swatch,false,720,480,svg-png-webp,05-palette/slate-navy.svg
05-palette,dark-suede,Dark Suede color swatch,false,720,480,svg-png-webp,05-palette/dark-suede.svg
05-palette,pale-driftwood,Pale Driftwood color swatch,false,720,480,svg-png-webp,05-palette/pale-driftwood.svg
05-palette,warm-taupe-mauve,Warm Taupe Mauve color swatch,false,720,480,svg-png-webp,05-palette/warm-taupe-mauve.svg
05-palette,antique-rose-taupe,Antique Rose Taupe color swatch,false,720,480,svg-png-webp,05-palette/antique-rose-taupe.svg
05-palette,dusty-steel,Dusty Steel color swatch,false,720,480,svg-png-webp,05-palette/dusty-steel.svg
05-palette,champagne-rose-gold-metallic,Champagne Rose Gold Metallic gradient swatch,false,720,480,svg-png-webp,05-palette/champagne-rose-gold-metallic.svg
05-palette,plush-drift-palette-strip,All seven approved colors,false,1960,330,svg-png-webp,05-palette/plush-drift-palette-strip.svg
05-palette,suede-texture-tile,Seamless-feel suede background tile,false,900,900,svg-png-webp,05-palette/suede-texture-tile.svg
06-gradients,navy-drift,Navy Drift — primary full-bleed background,false,1600,900,svg-png-webp,06-gradients/navy-drift.svg
06-gradients,rose-drift,Rose Drift — hero glow and CTA halo,false,1600,900,svg-png-webp,06-gradients/rose-drift.svg
06-gradients,dusty-steel-mist,Dusty Steel Mist — cool decorative overlay,false,1600,900,svg-png-webp,06-gradients/dusty-steel-mist.svg
06-gradients,warm-veil,Warm Veil — reading comfort backdrop,false,1600,900,svg-png-webp,06-gradients/warm-veil.svg
07-components,button-primary,EXPLORE THE COLLECTION button,true,1000,360,svg-png-webp,07-components/button-primary.svg
07-components,button-secondary,VIEW THE GUIDE button,true,1000,360,svg-png-webp,07-components/button-secondary.svg
07-components,button-outline,LEARN MORE button,true,1000,360,svg-png-webp,07-components/button-outline.svg
07-components,badge-curated,CURATED badge,true,800,320,svg-png-webp,07-components/badge-curated.svg
07-components,badge-host-ready,HOST-READY badge,true,800,320,svg-png-webp,07-components/badge-host-ready.svg
07-components,badge-no-subscription,NO SUBSCRIPTION badge,true,800,320,svg-png-webp,07-components/badge-no-subscription.svg
07-components,badge-luxsync-pick,LUXSYNC PICK badge,true,800,320,svg-png-webp,07-components/badge-luxsync-pick.svg
07-components,toggle-on,Toggle control — on,true,600,300,svg-png-webp,07-components/toggle-on.svg
07-components,toggle-off,Toggle control — off,true,600,300,svg-png-webp,07-components/toggle-off.svg
07-components,scene-tag,Scene status tag,true,700,280,svg-png-webp,07-components/scene-tag.svg
07-components,quantity-selector,Product quantity selector,true,1000,360,svg-png-webp,07-components/quantity-selector.svg
07-components,search-field,Website search field,true,1200,320,svg-png-webp,07-components/search-field.svg
07-components,sort-control,Product sorting control,true,1000,360,svg-png-webp,07-components/sort-control.svg
07-components,pagination,Pagination control,true,1200,320,svg-png-webp,07-components/pagination.svg
07-components,notification-card,Email/notification card,false,1000,520,svg-png-webp,07-components/notification-card.svg
07-components,quote-card,Brand quote/pull-quote card,false,1000,520,svg-png-webp,07-components/quote-card.svg
07-components,trust-bar,Four-point website trust bar,false,1600,280,svg-png-webp,07-components/trust-bar.svg
08-cards,tactile-luxury-card,Tactile Luxury pillar card,false,1000,700,svg-png-webp,08-cards/tactile-luxury-card.svg
08-cards,intelligent-calm-card,Intelligent Calm pillar card,false,1000,700,svg-png-webp,08-cards/intelligent-calm-card.svg
08-cards,warm-futurism-card,Warm Futurism pillar card,false,1000,700,svg-png-webp,08-cards/warm-futurism-card.svg
08-cards,effortless-sophistication-card,Effortless Sophistication pillar card,false,1000,700,svg-png-webp,08-cards/effortless-sophistication-card.svg
08-cards,manifesto-card,Brand manifesto card,false,1000,700,svg-png-webp,08-cards/manifesto-card.svg
08-cards,diagnostic-matrix,Comparison matrix card,false,1000,700,svg-png-webp,08-cards/diagnostic-matrix.svg
08-cards,type-specimen-display,Display typography,false,1000,700,svg-png-webp,08-cards/type-specimen-display.svg
08-cards,type-specimen-body,Body typography,false,1000,700,svg-png-webp,08-cards/type-specimen-body.svg
08-cards,tone-calibration,Brand voice calibration graphic,false,1000,700,svg-png-webp,08-cards/tone-calibration.svg
08-cards,always-do,Always Do card,false,1000,700,svg-png-webp,08-cards/always-do.svg
08-cards,never-do,Never Do card,false,1000,700,svg-png-webp,08-cards/never-do.svg
08-cards,sounds-like,LuxSync Sounds Like card,false,1000,700,svg-png-webp,08-cards/sounds-like.svg
08-cards,never-sounds-like,LuxSync Never Sounds Like card,false,1000,700,svg-png-webp,08-cards/never-sounds-like.svg
09-illustrations,layered-depth-stack,Four-layer depth construction illustration,false,1200,800,svg-png-webp,09-illustrations/layered-depth-stack.svg
09-illustrations,ambient-glow-example,Correct gentle ambient illumination,false,1200,800,svg-png-webp,09-illustrations/ambient-glow-example.svg
09-illustrations,forbidden-light-example,Incorrect neon/hard-glow example,false,1200,800,svg-png-webp,09-illustrations/forbidden-light-example.svg
09-illustrations,organic-motion-curve,Motion/easing curve graphic,false,1200,800,svg-png-webp,09-illustrations/organic-motion-curve.svg
09-illustrations,dashboard-tablet,Stylized smart-home dashboard touchpoint,false,1200,800,svg-png-webp,09-illustrations/dashboard-tablet.svg
09-illustrations,floating-widgets,Mobile interface with floating widget cards,false,1200,800,svg-png-webp,09-illustrations/floating-widgets.svg
09-illustrations,luxury-smart-hub,Physical smart-hub/unboxing illustration,false,1200,800,svg-png-webp,09-illustrations/luxury-smart-hub.svg
10-product-cards,category-comfort,COMFORT category/product card,false,800,1100,svg-png-webp,10-product-cards/category-comfort.svg
10-product-cards,category-security,SECURITY category/product card,false,800,1100,svg-png-webp,10-product-cards/category-security.svg
10-product-cards,category-energy,ENERGY category/product card,false,800,1100,svg-png-webp,10-product-cards/category-energy.svg
10-product-cards,category-hosting,HOSTING category/product card,false,800,1100,svg-png-webp,10-product-cards/category-hosting.svg
11-banners,hero-technology-feels-like-home,Primary homepage hero banner,false,1600,700,svg-png-webp,11-banners/hero-technology-feels-like-home.svg
11-banners,shop-curated-smart-living,Shop/category banner,false,1600,600,svg-png-webp,11-banners/shop-curated-smart-living.svg
11-banners,str-smart-home-roi-guide,Lead-magnet banner,false,1600,600,svg-png-webp,11-banners/str-smart-home-roi-guide.svg
11-banners,hero-where-luxury-lives-intelligently,Official slogan hero banner,false,1600,700,svg-png-webp,11-banners/hero-where-luxury-lives-intelligently.svg
